system_type,component,operational_hours,ambient_temperature,component_temperature,vibration,power_output,efficiency,fault_count_30d,maintenance_delay_days,weather_severity_index,degradation_rate,failure,remaining_useful_life_days
Wind,Bearing,6435,43,68,1.14,1643,89.6,2,3,2,0.21,0,265
Wind,Bearing,6607,35,50,2.3,1062,86.0,0,5,10,0.22,0,163
Wind,Blade,44159,24,55,8.93,1576,79.1,3,23,8,0.69,1,17
Solar,Inverter,40349,22,36,0.54,1184,93.0,1,3,6,0.31,0,286
Wind,Bearing,34181,25,68,1.61,1133,89.6,2,5,7,0.25,0,243
Wind,Generator,30881,44,59,2.21,1657,94.9,1,4,9,0.21,0,218
Solar,Inverter,7498,33,62,0.1,862,88.0,1,0,5,0.2,0,261
Solar,Panel,17322,35,74,0.47,632,93.6,0,0,1,0.1,0,327
Solar,Inverter,29028,34,76,0.19,887,91.4,0,3,5,0.19,0,299
Solar,Inverter,41296,44,83,0.41,1014,87.2,2,4,8,0.17,0,319
Solar,Panel,15615,39,62,0.41,1117,89.5,2,3,9,0.16,0,262
Solar,Inverter,5830,25,45,0.53,953,94.3,2,2,3,0.28,0,277
Wind,Blade,10351,36,67,1.1,1716,88.3,1,2,5,0.29,0,197
Solar,Panel,10144,26,64,0.14,343,95.1,1,4,10,0.14,0,315
Wind,Blade,40290,24,47,3.11,1163,92.2,2,0,3,0.14,0,282
Solar,Panel,9576,27,51,1.26,799,66.0,10,13,10,0.9,1,10
Solar,Inverter,13551,22,43,0.44,619,86.6,2,4,8,0.13,0,175
Solar,Inverter,12848,45,65,0.19,1082,89.1,2,3,5,0.15,0,330
Solar,Panel,25556,23,64,1.44,554,62.7,6,20,5,0.42,1,33
Solar,Inverter,28367,24,35,0.49,516,93.8,2,3,7,0.29,0,189
Wind,Blade,1072,26,48,7.3,936,79.2,7,30,10,0.93,1,25
Solar,Inverter,18645,22,51,0.49,647,90.1,2,3,3,0.25,0,222
Solar,Panel,9739,20,42,0.44,979,86.6,2,1,4,0.11,0,139
Solar,Inverter,7220,40,60,1.28,919,62.6,7,25,2,0.62,1,44
Solar,Inverter,11108,46,85,0.31,477,88.9,0,1,3,0.34,0,331
Solar,Inverter,38713,23,49,0.33,995,95.6,1,2,9,0.13,0,132
Solar,Panel,34571,23,54,0.23,1024,86.2,0,4,8,0.31,0,283
Solar,Panel,15527,23,67,1.2,1098,73.4,7,5,6,0.4,1,60
Solar,Inverter,31126,44,69,0.9,841,76.8,8,25,7,0.74,1,70
Solar,Inverter,4941,41,66,0.44,1183,90.0,0,4,1,0.25,0,219
Wind,Bearing,45217,25,42,3.2,1249,90.6,1,3,7,0.21,0,189
Solar,Panel,16996,41,67,0.15,436,93.3,1,3,2,0.24,0,216
Solar,Panel,33349,46,58,1.46,572,75.2,10,8,6,0.88,1,17
Wind,Blade,12798,37,69,6.0,1671,69.1,5,10,8,0.56,1,22
Solar,Panel,10446,23,67,0.13,756,90.4,1,5,3,0.24,0,288
Solar,Panel,8899,23,33,0.47,924,92.9,1,2,6,0.19,0,333
Wind,Blade,10777,47,90,7.69,1462,64.5,3,26,7,0.9,1,27
Solar,Inverter,5202,29,57,0.28,1180,93.6,1,5,6,0.13,0,252
Wind,Gearbox,16865,44,79,3.18,801,94.8,2,3,7,0.17,0,255
Solar,Inverter,44541,37,82,0.23,1003,92.4,1,1,10,0.33,0,171
Wind,Gearbox,39919,30,70,8.04,1364,56.9,4,8,9,0.85,1,37
Solar,Inverter,14578,22,42,1.2,1169,56.5,7,9,1,0.47,1,68
Solar,Panel,6534,20,57,0.57,1171,86.6,0,4,10,0.2,0,222
Wind,Generator,29540,41,83,2.98,1014,89.6,2,2,10,0.23,0,249
Wind,Generator,7201,43,83,1.73,842,90.3,0,4,2,0.27,0,325
Wind,Generator,18893,30,52,6.73,1491,71.0,9,29,6,0.76,1,54
Wind,Generator,29409,22,62,2.13,816,91.2,1,0,8,0.2,0,182
Solar,Panel,8880,38,53,0.71,1018,74.4,8,24,10,0.75,1,35
Solar,Inverter,16546,44,82,0.53,1048,90.6,0,4,2,0.28,0,237
Wind,Generator,18265,32,68,1.0,1619,95.5,1,1,8,0.27,0,350
Solar,Inverter,35908,32,66,0.39,666,88.7,1,2,7,0.11,0,289
Solar,Panel,37571,37,73,0.22,1180,87.1,2,0,5,0.23,0,180
Solar,Panel,38529,36,56,0.37,839,89.1,2,4,4,0.23,0,137
Solar,Panel,2829,24,57,0.19,771,86.6,2,5,3,0.23,0,220
Wind,Generator,38921,33,62,1.69,1772,95.6,2,2,5,0.16,0,333
Wind,Gearbox,30919,44,86,8.72,1380,69.5,7,12,9,0.85,1,9
Solar,Panel,45673,37,67,0.45,992,85.2,2,1,3,0.32,0,303
Wind,Generator,30087,29,61,2.14,1319,91.3,1,0,8,0.22,0,235
Wind,Generator,15451,32,71,8.9,1187,68.0,4,18,10,0.59,1,37
Solar,Panel,23853,23,60,0.8,797,59.5,8,28,10,0.84,1,50
Wind,Bearing,18610,25,54,1.78,1107,86.6,2,5,10,0.28,0,227
Wind,Blade,30913,41,55,6.02,1399,60.5,5,22,9,0.58,1,26
Solar,Inverter,43639,37,71,0.63,766,71.4,7,26,3,0.76,1,23
Wind,Blade,40915,31,63,1.98,1429,86.8,0,5,7,0.3,0,328
Wind,Blade,33241,30,49,2.42,1400,93.7,1,5,2,0.16,0,280
Wind,Bearing,38340,36,64,3.32,861,85.5,2,4,5,0.22,0,168
Wind,Generator,36296,29,54,3.37,1458,95.8,2,5,9,0.24,0,343
Wind,Blade,32392,27,46,1.04,1065,89.3,2,1,10,0.22,0,158
Wind,Generator,35239,22,57,5.4,891,64.1,4,11,6,0.79,1,64
Solar,Inverter,22269,47,73,0.48,645,94.4,1,0,10,0.27,0,234
Solar,Inverter,8039,30,70,0.78,1105,65.8,6,17,4,0.56,1,65
Solar,Inverter,12119,33,77,0.13,1129,90.9,0,5,5,0.23,0,242
Wind,Gearbox,46457,31,54,1.91,1771,92.7,1,3,2,0.26,0,219
Wind,Bearing,26673,25,39,6.42,1395,72.0,6,6,4,0.78,1,12
Wind,Gearbox,17534,46,63,4.73,1343,57.0,5,27,10,0.66,1,22
Solar,Panel,11490,24,55,0.39,490,92.2,0,1,7,0.29,0,248
Wind,Gearbox,17739,46,76,2.98,1282,94.7,2,0,2,0.2,0,128
Wind,Generator,49185,41,62,1.94,1148,94.6,1,4,2,0.14,0,295
Solar,Panel,14139,37,68,0.32,1150,90.3,1,4,9,0.29,0,345
Solar,Panel,28716,32,63,0.14,833,91.7,1,2,1,0.12,0,227
Wind,Bearing,13180,22,39,5.92,1660,72.2,5,16,2,0.45,1,53
Solar,Inverter,49126,30,69,1.06,1040,71.1,7,7,5,0.47,1,5
Solar,Panel,43630,22,54,1.26,997,73.3,10,13,10,0.94,1,67
Solar,Inverter,1931,36,81,1.06,792,56.6,6,23,7,0.48,1,71
Wind,Blade,43784,40,53,1.83,1499,92.3,1,0,1,0.26,0,237
Wind,Blade,44637,30,70,2.29,1556,95.5,1,4,7,0.25,0,166
Wind,Blade,28731,22,40,2.85,1383,85.4,0,3,5,0.2,0,137
Wind,Blade,10345,23,43,3.49,867,91.7,2,4,3,0.32,0,232
Solar,Inverter,17918,44,55,0.23,1123,87.9,0,2,9,0.26,0,262
Solar,Panel,26344,40,70,0.25,1000,92.9,2,4,7,0.33,0,326
Wind,Bearing,49341,30,49,6.57,1084,62.4,10,17,5,0.69,1,48
Solar,Panel,36063,36,62,0.97,743,59.7,6,5,9,0.6,1,46
Wind,Generator,35890,42,82,1.53,987,85.9,0,3,5,0.25,0,184
Wind,Bearing,42697,35,49,3.12,1445,92.3,0,3,7,0.14,0,188
Solar,Inverter,48801,34,78,0.4,708,91.0,0,1,8,0.27,0,149
Wind,Bearing,46840,31,58,2.86,1231,88.0,0,4,4,0.25,0,342
Wind,Bearing,9448,45,79,2.7,1790,87.2,2,5,3,0.15,0,125
Solar,Panel,18916,38,53,1.07,694,55.2,5,7,10,0.5,1,14
Solar,Panel,17410,20,31,1.45,647,65.1,10,19,2,0.55,1,53
Solar,Panel,26530,44,82,1.46,409,79.7,7,12,1,0.53,1,55
Wind,Generator,15481,27,47,5.35,1679,67.0,6,27,9,0.84,1,37
Wind,Blade,27847,29,70,8.61,1056,55.2,8,26,5,0.85,1,27
Solar,Panel,15644,35,75,1.35,783,73.5,10,28,4,0.5,1,59
Solar,Inverter,18325,22,61,0.57,545,90.0,1,5,8,0.25,0,152
Solar,Inverter,16503,21,47,0.46,633,89.3,2,0,10,0.14,0,264
Wind,Blade,44326,20,53,1.78,1476,91.5,1,3,2,0.21,0,283
Solar,Inverter,43083,35,45,0.46,756,94.6,2,5,8,0.27,0,348
Wind,Blade,5824,39,77,2.96,1138,90.1,0,2,2,0.12,0,175
Wind,Blade,47405,46,77,1.92,1721,94.4,1,3,6,0.16,0,322
Wind,Generator,31218,37,67,2.47,834,88.0,2,3,9,0.22,0,245
Solar,Panel,41337,42,78,0.45,915,92.1,0,4,6,0.26,0,144
Solar,Inverter,6322,21,66,1.28,463,71.5,4,27,3,0.79,1,75
Wind,Generator,4122,43,74,7.77,1057,61.5,3,16,10,0.79,1,39
Solar,Inverter,12368,32,74,0.19,315,86.6,1,2,9,0.29,0,262
Wind,Bearing,32417,35,50,7.63,1618,64.2,9,29,4,0.82,1,29
Solar,Panel,16877,29,69,0.53,507,92.4,1,2,3,0.28,0,152
Solar,Inverter,10777,26,67,0.98,1106,60.6,5,10,2,0.57,1,65
Solar,Inverter,38789,28,67,0.13,1173,86.2,2,1,4,0.2,0,279
Wind,Gearbox,7505,40,51,1.18,1202,95.1,0,3,6,0.11,0,312
Wind,Blade,37054,29,63,1.4,836,93.8,2,2,8,0.2,0,181
Wind,Gearbox,8627,20,33,1.33,1231,93.5,2,3,7,0.29,0,209
Wind,Blade,10065,20,64,5.6,1558,56.3,3,25,4,0.51,1,20
Solar,Panel,31754,30,60,0.25,301,92.1,2,5,5,0.14,0,145
Solar,Inverter,39222,42,52,0.25,312,92.4,0,2,1,0.12,0,186
Wind,Gearbox,25845,23,57,2.61,1436,90.2,2,2,10,0.18,0,188
Wind,Gearbox,18065,42,83,6.26,1102,58.5,5,27,3,0.49,1,12
Solar,Panel,49993,25,57,1.12,620,62.4,5,29,10,0.57,1,8
Solar,Panel,44135,46,58,1.25,301,75.7,10,16,3,0.8,1,30
Wind,Generator,7153,38,67,1.62,1341,93.3,1,4,5,0.2,0,263
Solar,Panel,29106,32,71,0.36,743,85.3,2,4,7,0.12,0,304
Solar,Panel,10776,32,67,0.29,587,86.6,1,5,6,0.22,0,121
Solar,Panel,36339,41,64,1.27,1195,70.7,8,7,4,0.44,1,37
Solar,Panel,35624,43,76,0.8,1146,74.7,6,23,1,0.48,1,57
Solar,Inverter,43219,35,60,0.21,310,94.2,0,2,9,0.28,0,308
Wind,Bearing,45224,42,56,6.21,808,61.8,3,11,6,0.45,1,54
Solar,Panel,9654,29,53,0.45,928,86.3,0,4,5,0.15,0,176
Wind,Bearing,14888,27,51,4.1,1670,70.2,4,8,5,0.87,1,57
Solar,Inverter,29147,29,74,0.31,572,95.2,0,0,4,0.35,0,320
Solar,Panel,46270,36,74,0.39,977,94.6,0,4,8,0.12,0,147
Wind,Gearbox,13083,25,58,6.13,1245,70.4,9,17,8,0.54,1,43
Wind,Gearbox,43959,34,57,2.84,1523,85.9,1,3,8,0.25,0,259
Solar,Inverter,47341,28,40,0.56,716,86.5,2,1,7,0.19,0,347
Solar,Panel,22288,22,63,0.49,749,92.7,0,2,6,0.31,0,170
Solar,Inverter,3410,29,74,0.76,531,57.3,10,10,9,0.59,1,12
Wind,Blade,12047,27,67,1.16,802,95.6,2,0,3,0.26,0,209
Solar,Panel,49616,33,63,1.37,722,59.3,10,14,1,0.89,1,29
Wind,Bearing,2038,20,62,2.79,1359,92.9,1,1,10,0.15,0,277
Wind,Generator,48863,23,60,5.27,1379,79.0,10,17,2,0.93,1,42
Wind,Bearing,45867,38,76,2.84,1517,91.6,2,5,5,0.35,0,198
Wind,Blade,3221,27,40,3.15,1482,89.3,2,0,6,0.17,0,150
Wind,Bearing,32218,38,83,1.87,1308,90.1,1,5,10,0.23,0,294
Wind,Generator,7057,23,63,2.37,1601,95.4,0,1,3,0.27,0,163
Solar,Inverter,15628,41,85,0.23,1056,90.9,1,0,9,0.29,0,217
Wind,Gearbox,21402,25,57,7.28,1500,57.8,6,29,4,0.43,1,39
Solar,Inverter,18655,35,74,1.15,914,60.9,6,8,10,0.78,1,64
Wind,Blade,4651,26,37,1.1,1360,94.5,1,2,3,0.24,0,252
Wind,Generator,34870,42,80,2.35,1402,94.1,0,1,2,0.22,0,143
Wind,Gearbox,35812,26,65,1.72,1057,90.9,2,3,2,0.29,0,201
Wind,Generator,34271,24,65,1.5,1178,86.5,1,2,8,0.26,0,321
Wind,Gearbox,45262,32,67,4.71,1685,55.9,9,28,1,0.6,1,33
Solar,Panel,9467,30,67,0.21,543,90.9,0,3,4,0.14,0,198
Wind,Gearbox,12342,33,70,1.62,1615,91.8,1,4,1,0.11,0,180
Wind,Gearbox,18537,28,50,8.96,1469,69.7,10,22,5,0.43,1,65
Wind,Gearbox,5897,34,48,1.26,1791,92.6,0,2,3,0.22,0,326
Solar,Panel,12115,37,82,0.55,774,89.8,1,3,5,0.12,0,156
Wind,Generator,26893,47,59,2.05,825,93.7,1,2,9,0.13,0,276
Solar,Panel,6847,46,77,0.43,338,92.3,0,2,5,0.25,0,271
Solar,Panel,39914,23,66,0.34,316,85.4,2,0,10,0.11,0,228
Wind,Blade,37527,38,78,7.12,1471,57.6,4,6,4,0.5,1,50
Solar,Panel,29896,32,43,0.19,974,93.5,2,4,7,0.21,0,343
Solar,Panel,1200,29,47,0.89,1111,73.7,6,5,6,0.85,1,72
Solar,Panel,12322,34,57,0.29,551,86.3,0,4,3,0.27,0,194
Wind,Blade,39330,28,60,6.06,1662,71.3,8,23,2,0.78,1,27
Wind,Bearing,2353,39,70,5.61,1359,55.3,5,30,7,0.7,1,72
Solar,Panel,25669,29,57,0.35,815,91.5,2,2,4,0.24,0,136
Solar,Panel,1893,45,71,0.21,699,95.7,2,4,8,0.14,0,283
Solar,Inverter,31158,29,69,1.11,614,70.0,10,10,1,0.46,1,5
Solar,Panel,26180,32,57,0.46,999,87.3,1,1,2,0.19,0,332
Solar,Panel,15680,47,65,0.51,491,88.5,1,0,9,0.3,0,141
Solar,Inverter,29331,34,49,1.43,1026,57.4,3,27,10,0.87,1,43
Solar,Inverter,40315,22,58,0.9,322,55.2,9,15,10,0.43,1,34
Solar,Inverter,20609,25,56,0.51,751,95.4,2,2,3,0.25,0,213
Solar,Panel,46201,40,61,1.04,590,77.5,5,19,8,0.93,1,80
Solar,Panel,18764,36,76,1.09,940,58.4,9,26,10,0.94,1,69
Wind,Bearing,44450,35,72,8.17,1468,56.3,9,5,10,0.5,1,35
Wind,Gearbox,46259,22,42,1.66,1450,89.0,0,5,7,0.31,0,205
Solar,Panel,25135,35,45,0.61,710,74.5,5,5,2,0.41,1,24
Solar,Panel,32251,34,48,0.39,969,90.5,1,5,10,0.24,0,286
Solar,Inverter,40320,37,68,1.07,933,72.7,9,5,8,0.86,1,21
Solar,Inverter,4209,30,53,0.39,1174,88.2,1,1,1,0.11,0,208
Solar,Inverter,4721,46,60,0.1,1079,93.1,1,4,3,0.27,0,170
Solar,Panel,46681,25,48,1.5,588,68.6,4,6,1,0.49,1,14
Solar,Inverter,9768,43,59,0.81,783,62.9,7,17,9,0.91,1,22
Wind,Bearing,45775,27,46,2.21,1141,88.9,0,0,1,0.13,0,230
Solar,Inverter,22515,46,61,0.2,705,95.3,1,5,10,0.12,0,163
Solar,Inverter,21668,38,55,0.52,386,93.9,0,3,2,0.14,0,147
Wind,Generator,45185,24,61,3.31,1511,89.4,2,2,2,0.28,0,183
Solar,Panel,46394,32,58,0.42,774,90.6,0,5,10,0.13,0,306
Wind,Bearing,35583,24,41,3.09,1257,89.2,0,5,3,0.24,0,128
Solar,Panel,5401,40,56,0.3,662,94.5,2,4,1,0.2,0,243
Wind,Gearbox,25061,26,45,1.55,856,95.4,2,2,5,0.29,0,233
Solar,Inverter,23912,47,87,0.13,1075,92.8,0,1,3,0.1,0,174
Solar,Inverter,44614,39,66,0.51,600,87.7,2,5,5,0.33,0,222
Solar,Panel,30861,28,58,0.16,697,89.2,0,1,5,0.27,0,296
Solar,Inverter,31073,44,62,0.95,861,70.8,6,19,9,0.63,1,9
Solar,Inverter,35668,24,59,0.49,793,89.0,1,0,8,0.21,0,273
Wind,Gearbox,34792,31,67,5.03,1752,76.4,7,23,9,0.89,1,37
Wind,Generator,31908,21,38,4.45,1225,60.1,10,28,9,0.88,1,79
Wind,Gearbox,43475,29,53,3.02,977,93.6,0,1,10,0.21,0,275
Wind,Blade,28714,31,45,3.33,1057,94.8,0,2,1,0.24,0,212
Solar,Panel,21226,42,66,1.48,600,59.9,4,21,6,0.49,1,55
Solar,Panel,7492,40,80,0.11,545,93.1,2,3,3,0.25,0,199
Wind,Generator,25531,38,73,4.36,1553,61.0,6,15,2,0.77,1,47
Solar,Inverter,17291,22,67,0.42,631,93.3,1,1,2,0.23,0,278
Solar,Inverter,3227,30,52,1.32,1040,71.6,10,28,1,0.76,1,51
Solar,Panel,33380,20,50,0.27,731,91.5,0,1,1,0.17,0,144
Solar,Inverter,29774,37,69,1.28,975,56.3,7,16,4,0.65,1,47
Wind,Bearing,14179,25,48,1.21,1357,91.6,0,5,10,0.12,0,261
Wind,Gearbox,23596,34,75,3.24,1301,86.5,0,2,8,0.26,0,182
Wind,Gearbox,28257,38,50,2.53,1018,85.4,1,3,10,0.15,0,335
Wind,Gearbox,35154,44,72,6.79,1349,71.3,10,7,7,0.77,1,15
Wind,Generator,42240,35,58,7.16,1247,76.2,8,21,8,0.55,1,57
Wind,Generator,5573,33,64,6.2,982,70.0,10,16,5,0.44,1,31
Solar,Panel,22952,27,63,0.45,1022,87.8,2,0,8,0.13,0,184
Wind,Blade,41778,27,69,8.65,1143,73.7,9,28,8,0.85,1,35
Solar,Inverter,11080,30,49,0.5,801,92.2,2,0,10,0.11,0,154
Wind,Bearing,26536,28,69,8.66,1709,69.7,10,27,9,0.72,1,51
Wind,Blade,12033,39,55,6.7,1082,58.8,5,15,4,0.89,1,16
Wind,Gearbox,45456,46,67,6.14,1345,78.5,7,19,5,0.89,1,58
Solar,Inverter,6475,22,50,1.15,1000,62.8,9,23,2,0.67,1,49
Wind,Blade,10541,28,64,1.08,1397,85.5,1,1,5,0.24,0,344
Solar,Panel,45036,25,36,0.24,838,92.1,2,0,7,0.12,0,284
Wind,Gearbox,23816,21,56,7.38,1705,76.8,5,16,7,0.46,1,74
Wind,Gearbox,17916,32,67,2.82,1265,89.1,0,3,9,0.31,0,169
Wind,Blade,22278,31,54,8.62,1304,79.5,3,22,9,0.42,1,71
Wind,Blade,7450,45,67,1.72,979,88.8,0,1,6,0.1,0,261
Wind,Blade,37796,27,49,8.08,1430,63.6,3,9,10,0.81,1,31
Wind,Gearbox,19462,41,56,8.87,1146,67.4,4,6,9,0.66,1,13
Wind,Gearbox,39466,36,53,1.61,1273,90.1,2,1,4,0.21,0,147
Wind,Generator,29957,30,52,4.82,871,77.3,8,13,10,0.63,1,70
Solar,Panel,48900,45,66,0.8,569,64.0,4,7,6,0.84,1,34
Solar,Inverter,41262,40,77,1.31,465,76.9,10,10,2,0.87,1,18
Wind,Generator,17483,44,82,3.06,1735,93.0,1,3,9,0.26,0,341
Solar,Inverter,6616,31,68,0.11,612,89.6,0,3,10,0.34,0,162
Solar,Inverter,48124,46,60,0.53,965,88.3,1,3,2,0.14,0,315
Solar,Inverter,1307,36,51,0.39,850,85.5,2,0,8,0.26,0,181
Wind,Generator,45841,42,55,2.53,1705,89.3,1,5,7,0.28,0,124
Wind,Generator,37430,23,35,4.22,1086,62.0,5,27,9,0.59,1,24
Wind,Generator,4640,38,74,2.34,1398,93.8,0,4,1,0.3,0,269
Wind,Generator,13535,30,71,2.8,1128,94.4,0,1,6,0.32,0,227
Solar,Panel,10760,24,37,0.59,383,86.9,2,4,7,0.19,0,338
Wind,Blade,36994,47,92,4.01,1590,61.1,4,13,10,0.7,1,53
Solar,Inverter,47945,37,47,0.25,754,89.6,2,0,4,0.15,0,145
Solar,Inverter,41657,35,60,0.35,353,87.7,1,0,5,0.31,0,215
Solar,Panel,24178,29,44,0.44,952,86.2,1,1,10,0.3,0,339
Solar,Panel,4052,39,57,1.22,740,63.5,5,20,6,0.46,1,18
Solar,Panel,35204,37,65,0.15,396,92.7,2,4,10,0.33,0,273
Wind,Bearing,48437,36,81,6.57,1680,66.4,8,25,7,0.61,1,34
Solar,Inverter,11902,46,70,0.94,473,75.4,3,13,10,0.73,1,73
Solar,Panel,47987,40,64,0.59,703,95.7,1,4,10,0.25,0,309
Wind,Generator,29816,41,74,6.29,1757,75.4,7,30,1,0.61,1,43
Solar,Panel,26864,40,68,1.12,696,56.9,5,29,1,0.79,1,64
Wind,Generator,33812,35,74,5.72,1100,62.5,9,22,2,0.74,1,30
Wind,Blade,4819,35,77,1.33,1334,88.9,2,4,7,0.25,0,273
Solar,Inverter,31769,41,76,0.82,1113,57.5,10,12,5,0.83,1,70
Solar,Panel,22944,47,82,0.24,349,93.1,2,5,4,0.14,0,251
Wind,Bearing,45464,44,76,2.9,905,94.2,2,4,2,0.23,0,194
Wind,Gearbox,46347,32,76,4.39,1438,71.6,4,7,6,0.94,1,35
Wind,Bearing,4443,26,43,1.99,922,91.6,2,4,7,0.19,0,212
Solar,Panel,8840,24,51,0.17,1184,95.2,0,2,3,0.28,0,254
